date,price
07/02/2024,81.91
07/01/2024,82.32
06/28/2024,80.64
06/27/2024,80.83
06/26/2024,80.19
06/25/2024,80.07
06/24/2024,80.86
06/21/2024,79.96
06/20/2024,81.29
06/19/2024,80.59
06/18/2024,80.71
06/17/2024,79.72
06/14/2024,78.05
06/13/2024,78.26
06/12/2024,78.15
06/11/2024,77.55
06/10/2024,77.33
06/07/2024,75.22
06/06/2024,75.24
06/05/2024,73.82
06/04/2024,73.06
06/03/2024,74.09
05/31/2024,76.73
05/30/2024,77.54
05/29/2024,78.80
05/28/2024,79.35
05/27/2024,78.65
05/24/2024,77.23
05/23/2024,76.46
05/22/2024,77.15
05/21/2024,78.66
05/20/2024,79.30
05/17/2024,79.58
05/16/2024,78.74
05/15/2024,78.16
05/14/2024,77.65
05/13/2024,78.60
05/10/2024,77.84
05/09/2024,78.80
05/08/2024,78.56
05/07/2024,78.06
05/06/2024,78.14
05/03/2024,77.76
05/02/2024,78.48
05/01/2024,78.44
04/30/2024,81.28
04/29/2024,82.03
04/26/2024,83.13
04/25/2024,82.75
04/24/2024,82.09
04/23/2024,82.56
04/22/2024,81.90
04/19/2024,82.22
04/18/2024,82.10
04/17/2024,82.15
04/16/2024,84.83
04/15/2024,84.86
04/12/2024,85.08
04/11/2024,84.45
04/10/2024,85.44
04/09/2024,84.46
04/08/2024,85.53
04/05/2024,86.10
04/04/2024,85.81
04/03/2024,84.61
04/02/2024,84.22
04/01/2024,82.82
03/28/2024,82.42
03/27/2024,80.78
03/26/2024,81.04
03/25/2024,81.38
03/22/2024,80.17
03/21/2024,80.64
03/20/2024,81.27
03/19/2024,82.73
03/18/2024,82.16
03/15/2024,80.58
03/14/2024,80.74
03/13/2024,79.30
03/12/2024,77.25
03/11/2024,77.53
03/08/2024,77.50
03/07/2024,78.32
03/06/2024,78.41
03/05/2024,77.41
03/04/2024,78.17
03/01/2024,79.09
02/29/2024,77.45
02/28/2024,77.83
02/27/2024,78.23
02/26/2024,77.09
02/23/2024,76.08
02/22/2024,77.93
02/21/2024,77.31
02/20/2024,77.04
02/19/2024,78.11
02/16/2024,78.46
02/15/2024,77.59
02/14/2024,76.36
02/13/2024,77.56
02/12/2024,76.82
02/09/2024,76.77
02/08/2024,76.19
02/07/2024,73.91
02/06/2024,73.37
02/05/2024,72.85
02/02/2024,72.30
02/01/2024,73.79
01/31/2024,75.71
01/30/2024,77.65
01/29/2024,76.67
01/26/2024,77.86
01/25/2024,77.19
01/24/2024,74.98
01/23/2024,74.27
01/22/2024,74.76
01/19/2024,73.25
01/18/2024,73.95
01/17/2024,72.48
01/16/2024,72.52
01/15/2024,72.79
01/12/2024,72.79
01/11/2024,72.09
01/10/2024,71.44
01/09/2024,72.29
01/08/2024,70.92
01/05/2024,73.86
01/04/2024,72.36
01/03/2024,72.89
01/02/2024,70.62
01/01/2024,71.97
12/29/2023,71.84
12/28/2023,71.97
12/27/2023,74.34
12/26/2023,75.71
12/25/2023,73.79
12/22/2023,73.73
12/21/2023,74.06
12/20/2023,74.45
12/19/2023,73.94
12/18/2023,72.82
12/15/2023,71.78
12/14/2023,71.91
12/13/2023,69.72
12/12/2023,68.85
12/11/2023,71.56
12/08/2023,71.44
12/07/2023,69.59
12/06/2023,69.65
12/05/2023,72.53
12/04/2023,73.32
12/01/2023,74.25
11/30/2023,76.05
11/29/2023,77.99
11/28/2023,76.59
11/27/2023,75.09
11/24/2023,75.77
11/23/2023,76.34
11/22/2023,77.25
11/21/2023,77.92
11/20/2023,77.83
11/17/2023,76.04
